Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Салат ""Щедрая осень""",100,1 руб 18 коп,,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Салат из птицы с рисом,100,1 руб 10 коп,,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Салат ""Полесский""",100,1 руб 93 коп,,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Салат ""Радуга""",100,1 руб 16 коп,,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Яйца с грибами,100,1 руб 27 коп,,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Суп картофельный с клецками,250,1 руб 82 коп,Супы,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Суп перловый с грибами,250/20,1 руб 36 коп,Супы,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Голубцы овощные (капуста,грибы,морковь,лук,яйцо,рис,соус сметанный)",250,2 руб 98 коп,Вторые блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Котлета с сыром и морковью,115,2 руб 55 коп,Вторые блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Фрикасе,200,5 руб 22 коп,Вторые блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Свинина с грибами,100,3 руб 70 коп,Вторые блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Рыба в белках,110,3 руб 53 коп,Вторые блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Гречка отварная,200,88 коп,Гарниры,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Картофель жареный из отварного,200,86 коп,Гарниры,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Спагетти,150,1 руб,Гарниры,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Овощной микс,150,1 руб 88 коп,Гарниры,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Горчица,25,45 коп,Соусы,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Сметана,50,50 коп,Соусы,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Соус соевый,25,34 коп,Соусы,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Кетчуп/ майонез,25,25 коп,Соусы,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Клюква с яблоком в слойке,130,1 руб 96 коп,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Вафли черноморские,шт.,60 коп,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Зефир  в шоколаде,зефир",шт.,1 руб 10 коп,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Батончик мюсли,шт.,60 коп,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
