Food,Weight,Price,Type,Key,Date,File,SHA1
Филе птицы в сыре,100,2 руб 84 коп,Вторые блюда,06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Рыба хек под маринадом,165,3 руб 20 коп,Вторые блюда,06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Макароны отварные,150,90 коп,Гарниры,06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Каша перловая,200,90 коп,Гарниры,06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Картофель отварной с укропом,200,1 руб 14 коп,Гарниры,06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Овощи тушеные,150,2 руб,Гарниры,06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
"Горчица,хрен",25,45 коп,Соусы,06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Соевый соус,15,30 коп,Соусы,06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Сметана,25,30 коп,Соусы,06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Кетчуп,25,25 коп,Соусы,06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
"Соус""Hainz"" в ассортименте",шт.,50 коп,Соусы,06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Шарлотка с яблоками,150,1 руб 32 коп,Сладкие блюда,06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Напиток лимонный,0.2,65 коп,Напитки,06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",06.08.2018 ,2018-09-06,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
"Рулетики ""Аппетитные""",120,3 руб 35 коп,,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Винегрет с сельдью,100,1 руб 33 коп,,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Салат из птицы с ветчиной,100,1 руб 75 коп,,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Салат овощной с сыром,100,1 руб 30 коп,,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
"Салат""Радуга""",100,1 руб,,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Суп гороховый,250,1 руб 06 коп,Супы,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Щи из свежей капусты с курицей,250/20,1 руб 44 коп,Супы,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Суп из овощей,250,1 руб 66 коп,Супы,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Крылышки барбекю,150,2 руб 50 коп,Вторые блюда,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
"Котлета""Любимая""",115,2 руб 80 коп,Вторые блюда,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Бефстрогонов из говядины,75/75,4 руб 80 коп,Вторые блюда,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Куриный конверт с ананасом,130,3 руб 09 коп,Вторые блюда,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
"Шницель""Нептун""",120,4 руб 56 коп,Вторые блюда,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Картофель жареный из отварного,200,1 руб 10 коп,Гарниры,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Гречка отварная,200,80 коп,Гарниры,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
"Рис ""Светофор""",200,1 руб 12 коп,Гарниры,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Капуста цветная в сухарях,155,2 руб 18 коп,Гарниры,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
"Горчица,хрен",25,45 коп,Соусы,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Соевый соус,15,30 коп,Соусы,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Сметана,25,30 коп,Соусы,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Кетчуп,25,25 коп,Соусы,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
"Соус""Hainz"" в ассортименте",шт.,50 коп,Соусы,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Пудинг из творога,150,2 руб 28 коп,Сладкие блюда,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Компот из апельсинов,0.2,1 руб,Напитки,07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",07.09.2018,2018-09-07,Меню с 03-07 сентября.xls,461ee5a84ba304b9d276ce63ca915e3a4db340a0
Яйца фаршированные с грибами,1 шт/70,1 руб 27 коп,,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Салат из овощей с морской капустой,100,62 коп,,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Салат-коктель с ветчиной и сыром,100,1 руб 78 коп,,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Салат ""Слоеный""",100,1 руб 20 коп,,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Салат из помидор,огурцов и сладкого перца",100,1 руб 32 коп,,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Суп-харчо,250/20,2 руб,Супы,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Рассольник""Ленинградский""",250/20/20,1 руб 90 коп,Супы,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Шницель ""Полесский""",125,1 руб 74 коп,Вторые блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Куриный конверт с ананасом,130,3 руб 03 коп,Вторые блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Мясо по-французски,120,4 руб,Вторые блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Гуляшь из говядины,75/100,3 руб 70 коп,Вторые блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Рыба хек жаренная,100,4 руб 03 коп,Вторые блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Картофель отварной,200,80 коп,Гарниры,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Спагетти,150,77 коп,Гарниры,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Каша перловая с луком и грудинкой,200,1 руб 73 коп,Гарниры,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Овощной микс,150,1 руб 88 коп,Гарниры,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Горчица,25,45 коп,Соусы,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Сметана,50,47 коп,Соусы,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Соус соевый,25,33 коп,Соусы,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Кетчуп/ майонез,25,25 коп,Соусы,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Слойка с яблоком,150,1 руб 53 коп,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Зефир,шт.,1 руб,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Зефир в шоколаде,шт.,1 руб 10 коп,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Батончик мюсли,шт.,60 коп,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Вафли""Черноморские""",шт.,80 коп,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Круассан,шт.,2 руб,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Печенье ""Фрайдей""",шт.,80 коп,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Шоколад Спартак горький/Любимая Аленка, 20гр",шт., 40 коп,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Шоколад Спартак горький/Спартак молочный 50 г,шт.,1 руб ,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Пирожок с черникой,шт.,1 руб 25 коп,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Шоколад""Любимая Аленка"", 100гр Шоколад""Каммунарка"" 90г",шт.,2 руб,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Пончик с бананом,клубникой,белой глазурью,шоколадом,корицей",шт.,1 руб,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Маффин шоколадный,шт.,2 руб 20 коп,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Вафли ""Витьба""",шт.,50 коп,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Вафли ""Витьба by""",шт.,60 коп,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Йогурт,сырок глазированный",шт.,65 коп,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Кекс""Снежок""",шт.,80 коп,Сладкие блюда,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Сок""Рич""в ассортименте 1л",0.2,4 руб,Напитки,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Сок ""Рич""в ассортименте 0,2",0.2,85 коп,Напитки,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Морс клюквенно-виноградный,0.2,80 коп,Напитки,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Напиток лимонный,0.2,65 коп,Напитки,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Кола,фанта,спрайт",0.5,1 руб 50 коп,Напитки,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Чай в ассортименте,шт.,50 коп,Напитки,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Кефир,0.2,56 коп,Напитки,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Боржоми,0.5,2 руб 50 коп,Напитки,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Банан,100,52 коп,Фрукты,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Яблоко,груша",100,46 коп,Фрукты,03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",03.01.2018,2018-01-03,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Рулетики ""Аппетитные""",120,3 руб 65 коп,,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Салат ""Белорусский""",100,1 руб 33 коп,,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Салат из птицы с рисом,100,1 руб 10 коп,,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Салат из свеклы с сыром,100,80 коп,,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Салат ""Цветной",100,45 коп,,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Суп ""Полевой""",250,1 руб 12 коп,Супы,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Щи из свежей капусты,250/20/20,1 руб 36 коп,Супы,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Чахохбили,250,2 руб 45 коп,Вторые блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Стейк с птицы,100,2 руб 15 коп,Вторые блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Свинина с сыром,100,4 руб 50 коп,Вторые блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Говядина отварная,100,4 руб ,Вторые блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Котлета  рыбная ""Нежность""",120,3 руб 03 коп,Вторые блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Гречка отварная,200,87 коп,Гарниры,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Картофельные дольки,150,2 руб 04 коп,Гарниры,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Рис отварной,200,74 коп,Гарниры,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Капуста брокколи,150,2 руб 10 коп,Гарниры,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Горчица,25,45 коп,Соусы,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Сметана,50,47 коп,Соусы,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Соус соевый,25,33 коп,Соусы,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Кетчуп/ майонез,25,25 коп,Соусы,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Сырники с джемом,150/20,1 руб 93 коп,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Зефир,шт.,1 руб,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Зефир в шоколаде,шт.,1 руб 10 коп,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Батончик мюсли,шт.,60 коп,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Вафли""Черноморские""",шт.,80 коп,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Круассан,шт.,2 руб,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Печенье ""Фрайдей""",шт.,80 коп,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Шоколад Спартак горький/Любимая Аленка, 20гр",шт., 40 коп,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Шоколад Спартак горький/Спартак молочный 50 г,шт.,1 руб ,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Пирожок с черникой,шт.,1 руб 25 коп,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Шоколад""Любимая Аленка"", 100гр Шоколад""Каммунарка"" 90г",шт.,2 руб,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Пончик с бананом,клубникой,белой глазурью,шоколадом,корицей",шт.,1 руб,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Маффин шоколадный,шт.,2 руб 20 коп,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Вафли ""Витьба""",шт.,50 коп,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Вафли ""Витьба by""",шт.,60 коп,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Йогурт,сырок глазированный",шт.,65 коп,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Кекс""Снежок""",шт.,80 коп,Сладкие блюда,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Сок""Рич""в ассортименте 1л",0.2,4 руб,Напитки,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Сок ""Рич""в ассортименте 0,2",0.2,85 коп,Напитки,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Морс клюквенно-виноградный,0.2,80 коп,Напитки,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Напиток лимонный,0.2,65 коп,Напитки,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Кола,фанта,спрайт",0.5,1 руб 50 коп,Напитки,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Чай в ассортименте,шт.,50 коп,Напитки,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Кефир,0.2,56 коп,Напитки,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Боржоми,0.5,2 руб 50 коп,Напитки,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Банан,100,52 коп,Фрукты,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Яблоко,груша",100,46 коп,Фрукты,04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",04.01.2018,2018-01-04,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Салат из овощей с ветчиной,100,1 руб 58 коп,,05.01.2017,2018-01-05,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Салат ""Вежа""",100,2 руб,,05.01.2017,2018-01-05,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Помидоры с сыром,100,1 руб 26 коп,,05.01.2017,2018-01-05,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Салат из свежих помидор и огурцов,100,1 руб 14 коп,,05.01.2017,2018-01-05,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
"Салат ""Белоснежка""",100,91 коп,,05.01.2017,2018-01-05,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Суп картофельный с мясными фрикадельками,250,1 руб 21 коп,Супы,05.01.2017,2018-01-05,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Борщ с курицей и сметаной,250/20/20,1 руб 60 коп,Супы,05.01.2017,2018-01-05,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Биточки по-белорусски,100,1 руб 90 коп,Вторые блюда,05.01.2017,2018-01-05,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
Филе птицы в сыре,100,2 руб 40 коп,Вторые блюда,05.01.2017,2018-01-05,Меню с 03.01 по 05.01.2018г -.xls,4c1c6f03ffea434771ac7532daf468b82fb4324f
