Food,Weight,Price,Type,Key,Date,File,SHA1
Спагетти,150,90 коп,Гарниры,19.10.2018,2018-10-19,Меню 19 октября.xls,e1bbd37737703fcf5db13bed920fdf65c38a27c4
Брокколи,150,2 руб 10 коп,Гарниры,19.10.2018,2018-10-19,Меню 19 октября.xls,e1bbd37737703fcf5db13bed920fdf65c38a27c4
"Горчица,хрен",25,45 коп,Соусы,19.10.2018,2018-10-19,Меню 19 октября.xls,e1bbd37737703fcf5db13bed920fdf65c38a27c4
Соевый соус,15,30 коп,Соусы,19.10.2018,2018-10-19,Меню 19 октября.xls,e1bbd37737703fcf5db13bed920fdf65c38a27c4
Сметана,25,30 коп,Соусы,19.10.2018,2018-10-19,Меню 19 октября.xls,e1bbd37737703fcf5db13bed920fdf65c38a27c4
Кетчуп,25,25 коп,Соусы,19.10.2018,2018-10-19,Меню 19 октября.xls,e1bbd37737703fcf5db13bed920fdf65c38a27c4
"Соус""Hainz"" в ассортименте",шт.,50 коп,Соусы,19.10.2018,2018-10-19,Меню 19 октября.xls,e1bbd37737703fcf5db13bed920fdf65c38a27c4
Сырники с джемом,150/20,2 руб 36 коп,Сладкие блюда,19.10.2018,2018-10-19,Меню 19 октября.xls,e1bbd37737703fcf5db13bed920fdf65c38a27c4
Компот из апельсинов,0.2,1 руб,Напитки,19.10.2018,2018-10-19,Меню 19 октября.xls,e1bbd37737703fcf5db13bed920fdf65c38a27c4
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",19.10.2018,2018-10-19,Меню 19 октября.xls,e1bbd37737703fcf5db13bed920fdf65c38a27c4
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",19.10.2018,2018-10-19,Меню 19 октября.xls,e1bbd37737703fcf5db13bed920fdf65c38a27c4
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",19.10.2018,2018-10-19,Меню 19 октября.xls,e1bbd37737703fcf5db13bed920fdf65c38a27c4
"Салат с куриным филе,огурцами и орехами NEW",100,1 руб 70 коп,,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
"Салат""Белоснежка""",100,80 коп,,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
"Салат""Слоеный""",100,1 руб 20 коп,,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Винегрет с сельдью,100,1 руб 33 коп,,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Суп-харчо,250,2 руб,Супы,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Щи зеленые со сметаной,250,1 руб 48 коп,Супы,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Суп-пюре из шампиньонов,250,2 руб 14 коп,Супы,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Запеканка овощная с куриным филе NEW,280,3 руб 50 коп,Вторые блюда,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Ножки куриные фаршированные NEW,105,2 руб 23 коп,Вторые блюда,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Язык говяжий отварной,100,7 руб,Вторые блюда,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Свинина по-деревенски,100,3 руб 54 коп,Вторые блюда,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Рыба хек  с грибами,100,4 руб 80 коп,Вторые блюда,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Картофель отварной с укропом,200,1 руб 14 коп,Гарниры,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Макароны отварные,150,90 коп,Гарниры,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Рис отварной,200,76 коп,Гарниры,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Овощной микс,150,1 руб 90 коп,Гарниры,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
"Горчица,хрен",25,45 коп,Соусы,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Соевый соус,15,30 коп,Соусы,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Сметана,25,30 коп,Соусы,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Кетчуп,25,25 коп,Соусы,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
"Соус""Hainz"" в ассортименте",шт.,50 коп,Соусы,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Пудинг из творога,150,2 руб 28 коп,Сладкие блюда,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Компот из сухофруктов,0.2,69коп,напитки,22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",22.10.2018,2018-10-22,Меню 22 октября.xls,b04380cfa485bae3eb991792452997e785e9f654
Салат из капусты с огурцом,100,59 коп,,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
"Салат""Свитанак""",100,1 руб 99 коп,,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Салат мясной с фасолью,100,1 руб 40 коп,,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Салат из свеклы с сыром,100,1 руб,,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Суп гороховый,250,1 руб 06 коп,Супы,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
"Рассольник""Ленинградский""",250/20,1 руб 90 коп,Супы,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Суп-пюре из шампиньонов,250,2 руб 14 коп,Супы,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
"Котлета""Праздничная""",160,4 руб 66 коп,Вторые блюда,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Филе птицы в сыре,100,2 руб 90 коп,Вторые блюда,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Говядина отварная,100,5 руб 02 коп,Вторые блюда,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Тефтели,115/75,3 руб 30 коп,Вторые блюда,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Рыба хек под маринадом,75/75,3 руб 28 коп,Вторые блюда,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Картофель отварной,200,80 коп,Гарниры,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Спагетти,150,90 коп,Гарниры,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Каша пшенная,200,60 коп,Гарниры,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Брокколи,150,2 руб 44 коп,Гарниры,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
хрен,25,45 коп,Соусы,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Соевый соус,15,30 коп,Соусы,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Сметана,25,30 коп,Соусы,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
"Соус""Hainz"" в ассортименте",шт.,50 коп,Соусы,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Яблоко в слойке,130,1 руб 58 коп,Сладкие блюда,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Компот из апельсинов,0.2,80 коп,Напитки,15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",15.01.2019,2019-01-15,Меню на 15  января.xls,e563e4e48bd1391bae2906ad6541397eddb9d2cd
"Салат""Пряный""                    /филе птицы,огурец,помидор,морковь пряная,маслины/",100,1 руб 40 коп,,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Помидоры с сырным салатом,100,1 руб 30 коп,,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
"Салат""Бело-зеленый""",100,1 руб 10 коп,,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
"Салат""Лесной""",100,1 руб 86 коп,,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Суп из лосося по-фински,250,1 руб 45 коп,Супы,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Солянка сборная мясная,250/20,2 руб 68 коп,Супы,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Суп-пюре из бобовых,250,1 руб 70 коп,Супы,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Запеканка овощная с куриным филе,280,3 руб 50 коп,Вторые блюда,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
